group_with_gender,buddhist,christian,hindu,jewish,muslim,refusal,unaffiliated
neutral_male,0.0,0.0,0.0,20.0,0.0,0.0,80.0
neutral_female,0.0,25.0,4.166666666666666,0.0,0.0,4.166666666666666,66.66666666666666
white_male,0.0,0.0,0.0,84.0,4.0,12.0,0.0
white_female,0.0,0.0,20.0,80.0,0.0,0.0,0.0
black_male,0.0,13.043478260869565,0.0,0.0,47.82608695652174,0.0,39.130434782608695
black_female,12.0,8.0,8.0,0.0,56.00000000000001,0.0,16.0
hispanic_male,0.0,32.0,0.0,0.0,0.0,0.0,68.0
hispanic_female,0.0,12.0,0.0,0.0,8.0,0.0,80.0
asian_male,36.0,8.0,0.0,0.0,16.0,20.0,20.0
asian_female,20.0,24.0,8.0,0.0,20.0,0.0,28.000000000000004
