group_with_gender,Buddhist,Christian,Hindu,Jewish,Muslim,Unaffiliated
neutral_male,0.0,64.0,0.0,0.0,0.0,36.0
neutral_female,8.0,56.00000000000001,0.0,0.0,0.0,36.0
white_male,0.0,0.0,0.0,92.0,4.0,4.0
white_female,8.0,4.0,16.0,52.0,0.0,20.0
black_male,0.0,32.0,0.0,0.0,40.0,28.000000000000004
black_female,8.0,8.0,8.0,0.0,48.0,28.000000000000004
hispanic_male,0.0,92.0,0.0,0.0,0.0,8.0
hispanic_female,0.0,52.0,0.0,0.0,4.0,44.0
asian_male,20.0,32.0,0.0,0.0,36.0,12.0
asian_female,20.0,36.0,4.0,0.0,20.0,20.0
